DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
S72121S,ICD10,1,Injuries to the hip and thigh
S72123A,ICD10,1,Injuries to the hip and thigh
S72124D,ICD10,1,Injuries to the hip and thigh
S72125D,ICD10,1,Injuries to the hip and thigh
S72131A,ICD10,1,Injuries to the hip and thigh
S72131D,ICD10,1,Injuries to the hip and thigh
S72132D,ICD10,1,Injuries to the hip and thigh
S72133S,ICD10,1,Injuries to the hip and thigh
S72135A,ICD10,1,Injuries to the hip and thigh
S72141J,ICD10,1,Injuries to the hip and thigh
S72142P,ICD10,1,Injuries to the hip and thigh
S72143S,ICD10,1,Injuries to the hip and thigh
S72144G,ICD10,1,Injuries to the hip and thigh
S72144K,ICD10,1,Injuries to the hip and thigh
S72146D,ICD10,1,Injuries to the hip and thigh
S7221XB,ICD10,1,Injuries to the hip and thigh
S7221XF,ICD10,1,Injuries to the hip and thigh
S7221XG,ICD10,1,Injuries to the hip and thigh
S7222XB,ICD10,1,Injuries to the hip and thigh
S7222XE,ICD10,1,Injuries to the hip and thigh
S7222XG,ICD10,1,Injuries to the hip and thigh
S7224XB,ICD10,1,Injuries to the hip and thigh
S7225XK,ICD10,1,Injuries to the hip and thigh
S72301B,ICD10,1,Injuries to the hip and thigh
S72301C,ICD10,1,Injuries to the hip and thigh
S72301E,ICD10,1,Injuries to the hip and thigh
S72302E,ICD10,1,Injuries to the hip and thigh
S72302N,ICD10,1,Injuries to the hip and thigh
S72302S,ICD10,1,Injuries to the hip and thigh
S72309D,ICD10,1,Injuries to the hip and thigh
S72321B,ICD10,1,Injuries to the hip and thigh
S72322F,ICD10,1,Injuries to the hip and thigh
S72322G,ICD10,1,Injuries to the hip and thigh
S72322S,ICD10,1,Injuries to the hip and thigh
S72323D,ICD10,1,Injuries to the hip and thigh
S72324D,ICD10,1,Injuries to the hip and thigh
S72325A,ICD10,1,Injuries to the hip and thigh
S72331G,ICD10,1,Injuries to the hip and thigh
S72332C,ICD10,1,Injuries to the hip and thigh
S72332E,ICD10,1,Injuries to the hip and thigh
S72332F,ICD10,1,Injuries to the hip and thigh
S72333A,ICD10,1,Injuries to the hip and thigh
S72334D,ICD10,1,Injuries to the hip and thigh
S72334S,ICD10,1,Injuries to the hip and thigh
S72335D,ICD10,1,Injuries to the hip and thigh
S72335S,ICD10,1,Injuries to the hip and thigh
S72344D,ICD10,1,Injuries to the hip and thigh
S72345A,ICD10,1,Injuries to the hip and thigh
S72346A,ICD10,1,Injuries to the hip and thigh
S72351G,ICD10,1,Injuries to the hip and thigh
S72352B,ICD10,1,Injuries to the hip and thigh
S72352K,ICD10,1,Injuries to the hip and thigh
S72354A,ICD10,1,Injuries to the hip and thigh
S72355A,ICD10,1,Injuries to the hip and thigh
S72355D,ICD10,1,Injuries to the hip and thigh
S72361A,ICD10,1,Injuries to the hip and thigh
S72362D,ICD10,1,Injuries to the hip and thigh
S72362F,ICD10,1,Injuries to the hip and thigh
S72362K,ICD10,1,Injuries to the hip and thigh
S72362S,ICD10,1,Injuries to the hip and thigh
S72391K,ICD10,1,Injuries to the hip and thigh
S72391S,ICD10,1,Injuries to the hip and thigh
S72392B,ICD10,1,Injuries to the hip and thigh
S72392C,ICD10,1,Injuries to the hip and thigh
S72392K,ICD10,1,Injuries to the hip and thigh
S72401C,ICD10,1,Injuries to the hip and thigh
S72401E,ICD10,1,Injuries to the hip and thigh
S72401P,ICD10,1,Injuries to the hip and thigh
S72402C,ICD10,1,Injuries to the hip and thigh
S72402F,ICD10,1,Injuries to the hip and thigh
S72402M,ICD10,1,Injuries to the hip and thigh
S72409D,ICD10,1,Injuries to the hip and thigh
S72409S,ICD10,1,Injuries to the hip and thigh
S72411C,ICD10,1,Injuries to the hip and thigh
S72411G,ICD10,1,Injuries to the hip and thigh
S72411K,ICD10,1,Injuries to the hip and thigh
S72412C,ICD10,1,Injuries to the hip and thigh
S72412K,ICD10,1,Injuries to the hip and thigh
S72414G,ICD10,1,Injuries to the hip and thigh
S72415B,ICD10,1,Injuries to the hip and thigh
S72415G,ICD10,1,Injuries to the hip and thigh
S72416A,ICD10,1,Injuries to the hip and thigh
S72416S,ICD10,1,Injuries to the hip and thigh
S72421B,ICD10,1,Injuries to the hip and thigh
S72422B,ICD10,1,Injuries to the hip and thigh
S72422C,ICD10,1,Injuries to the hip and thigh
S72422G,ICD10,1,Injuries to the hip and thigh
S72423C,ICD10,1,Injuries to the hip and thigh
S72423D,ICD10,1,Injuries to the hip and thigh
S72423F,ICD10,1,Injuries to the hip and thigh
S72424D,ICD10,1,Injuries to the hip and thigh
S72425G,ICD10,1,Injuries to the hip and thigh
S72426A,ICD10,1,Injuries to the hip and thigh
S72426E,ICD10,1,Injuries to the hip and thigh
S72431C,ICD10,1,Injuries to the hip and thigh
S72431E,ICD10,1,Injuries to the hip and thigh
S72432B,ICD10,1,Injuries to the hip and thigh
S72432E,ICD10,1,Injuries to the hip and thigh
S72433A,ICD10,1,Injuries to the hip and thigh
S72433C,ICD10,1,Injuries to the hip and thigh
S72433D,ICD10,1,Injuries to the hip and thigh
S72433F,ICD10,1,Injuries to the hip and thigh
S72435G,ICD10,1,Injuries to the hip and thigh
S72441A,ICD10,1,Injuries to the hip and thigh
S72441C,ICD10,1,Injuries to the hip and thigh
S72442S,ICD10,1,Injuries to the hip and thigh
S72444D,ICD10,1,Injuries to the hip and thigh
S72451P,ICD10,1,Injuries to the hip and thigh
S72451S,ICD10,1,Injuries to the hip and thigh
S72461B,ICD10,1,Injuries to the hip and thigh
S72461S,ICD10,1,Injuries to the hip and thigh
S72462F,ICD10,1,Injuries to the hip and thigh
S72462K,ICD10,1,Injuries to the hip and thigh
S72463A,ICD10,1,Injuries to the hip and thigh
S72471D,ICD10,1,Injuries to the hip and thigh
S72472A,ICD10,1,Injuries to the hip and thigh
S72472D,ICD10,1,Injuries to the hip and thigh
S72491B,ICD10,1,Injuries to the hip and thigh
S72491E,ICD10,1,Injuries to the hip and thigh
S72491G,ICD10,1,Injuries to the hip and thigh
S72492K,ICD10,1,Injuries to the hip and thigh
S72492P,ICD10,1,Injuries to the hip and thigh
S72499A,ICD10,1,Injuries to the hip and thigh
S728X2B,ICD10,1,Injuries to the hip and thigh
S728X2G,ICD10,1,Injuries to the hip and thigh
S728X2P,ICD10,1,Injuries to the hip and thigh
S728X9S,ICD10,1,Injuries to the hip and thigh
S7290XQ,ICD10,1,Injuries to the hip and thigh
S7290XS,ICD10,1,Injuries to the hip and thigh
S7291XC,ICD10,1,Injuries to the hip and thigh
S7291XK,ICD10,1,Injuries to the hip and thigh
S7292XF,ICD10,1,Injuries to the hip and thigh
S7292XG,ICD10,1,Injuries to the hip and thigh
S73001S,ICD10,1,Injuries to the hip and thigh
S73003D,ICD10,1,Injuries to the hip and thigh
S73003S,ICD10,1,Injuries to the hip and thigh
S73006S,ICD10,1,Injuries to the hip and thigh
S73011A,ICD10,1,Injuries to the hip and thigh
S73015D,ICD10,1,Injuries to the hip and thigh
S73016A,ICD10,1,Injuries to the hip and thigh
S73025D,ICD10,1,Injuries to the hip and thigh
S73034D,ICD10,1,Injuries to the hip and thigh
S73036A,ICD10,1,Injuries to the hip and thigh
S73044A,ICD10,1,Injuries to the hip and thigh
S73045D,ICD10,1,Injuries to the hip and thigh
S731,ICD10,1,Injuries to the hip and thigh
S73101S,ICD10,1,Injuries to the hip and thigh
S73102S,ICD10,1,Injuries to the hip and thigh
S7401XD,ICD10,1,Injuries to the hip and thigh
S7401XS,ICD10,1,Injuries to the hip and thigh
S7402XD,ICD10,1,Injuries to the hip and thigh
S7420XA,ICD10,1,Injuries to the hip and thigh
S7421XD,ICD10,1,Injuries to the hip and thigh
S748X1A,ICD10,1,Injuries to the hip and thigh
S7491XD,ICD10,1,Injuries to the hip and thigh
S7492XS,ICD10,1,Injuries to the hip and thigh
S75001D,ICD10,1,Injuries to the hip and thigh
S75002S,ICD10,1,Injuries to the hip and thigh
S75009A,ICD10,1,Injuries to the hip and thigh
S75012D,ICD10,1,Injuries to the hip and thigh
S75091S,ICD10,1,Injuries to the hip and thigh
S75102A,ICD10,1,Injuries to the hip and thigh
S75102D,ICD10,1,Injuries to the hip and thigh
S75801A,ICD10,1,Injuries to the hip and thigh
S75802A,ICD10,1,Injuries to the hip and thigh
S75902A,ICD10,1,Injuries to the hip and thigh
S75911A,ICD10,1,Injuries to the hip and thigh
S76001A,ICD10,1,Injuries to the hip and thigh
S76002A,ICD10,1,Injuries to the hip and thigh
S76009D,ICD10,1,Injuries to the hip and thigh
S76021A,ICD10,1,Injuries to the hip and thigh
S76092A,ICD10,1,Injuries to the hip and thigh
S76121D,ICD10,1,Injuries to the hip and thigh
S76191S,ICD10,1,Injuries to the hip and thigh
S76199D,ICD10,1,Injuries to the hip and thigh
S76201D,ICD10,1,Injuries to the hip and thigh
S76209A,ICD10,1,Injuries to the hip and thigh
S76219S,ICD10,1,Injuries to the hip and thigh
S76291A,ICD10,1,Injuries to the hip and thigh
S76292A,ICD10,1,Injuries to the hip and thigh
S76309S,ICD10,1,Injuries to the hip and thigh
S76801A,ICD10,1,Injuries to the hip and thigh
S76811S,ICD10,1,Injuries to the hip and thigh
S76899A,ICD10,1,Injuries to the hip and thigh
S76902A,ICD10,1,Injuries to the hip and thigh
S76919D,ICD10,1,Injuries to the hip and thigh
S76929A,ICD10,1,Injuries to the hip and thigh
S76991A,ICD10,1,Injuries to the hip and thigh
S7701XD,ICD10,1,Injuries to the hip and thigh
S7710XD,ICD10,1,Injuries to the hip and thigh
S7711XD,ICD10,1,Injuries to the hip and thigh
S7712,ICD10,1,Injuries to the hip and thigh
S7712XS,ICD10,1,Injuries to the hip and thigh
S7722XA,ICD10,1,Injuries to the hip and thigh
S78111D,ICD10,1,Injuries to the hip and thigh
S79001S,ICD10,1,Injuries to the hip and thigh
S79011A,ICD10,1,Injuries to the hip and thigh
S79011S,ICD10,1,Injuries to the hip and thigh
S79101D,ICD10,1,Injuries to the hip and thigh
S79111D,ICD10,1,Injuries to the hip and thigh
S79112D,ICD10,1,Injuries to the hip and thigh
S79119D,ICD10,1,Injuries to the hip and thigh
S79122A,ICD10,1,Injuries to the hip and thigh
S79131A,ICD10,1,Injuries to the hip and thigh
S79132A,ICD10,1,Injuries to the hip and thigh
S79139D,ICD10,1,Injuries to the hip and thigh
S79141A,ICD10,1,Injuries to the hip and thigh
S79142A,ICD10,1,Injuries to the hip and thigh
S79142D,ICD10,1,Injuries to the hip and thigh
S79191A,ICD10,1,Injuries to the hip and thigh
S79192A,ICD10,1,Injuries to the hip and thigh
S79811D,ICD10,1,Injuries to the hip and thigh
S79822D,ICD10,1,Injuries to the hip and thigh
S79829A,ICD10,1,Injuries to the hip and thigh
S8001X,ICD10,1,Injuries to the knee and lower leg
S80219S,ICD10,1,Injuries to the knee and lower leg
S8022,ICD10,1,Injuries to the knee and lower leg
S80221S,ICD10,1,Injuries to the knee and lower leg
S80222D,ICD10,1,Injuries to the knee and lower leg
S80229A,ICD10,1,Injuries to the knee and lower leg
S80262D,ICD10,1,Injuries to the knee and lower leg
S80262S,ICD10,1,Injuries to the knee and lower leg
S80272A,ICD10,1,Injuries to the knee and lower leg
S80819S,ICD10,1,Injuries to the knee and lower leg
S80821S,ICD10,1,Injuries to the knee and lower leg
S80829D,ICD10,1,Injuries to the knee and lower leg
S80842A,ICD10,1,Injuries to the knee and lower leg
S80851D,ICD10,1,Injuries to the knee and lower leg
S80852S,ICD10,1,Injuries to the knee and lower leg
S80869S,ICD10,1,Injuries to the knee and lower leg
S80872D,ICD10,1,Injuries to the knee and lower leg
S80911D,ICD10,1,Injuries to the knee and lower leg
S80919A,ICD10,1,Injuries to the knee and lower leg
S80919S,ICD10,1,Injuries to the knee and lower leg
S80929D,ICD10,1,Injuries to the knee and lower leg
S81009D,ICD10,1,Injuries to the knee and lower leg
S81012S,ICD10,1,Injuries to the knee and lower leg
S81019S,ICD10,1,Injuries to the knee and lower leg
S81029A,ICD10,1,Injuries to the knee and lower leg
S81031D,ICD10,1,Injuries to the knee and lower leg
S81041A,ICD10,1,Injuries to the knee and lower leg
S81822D,ICD10,1,Injuries to the knee and lower leg
S81839S,ICD10,1,Injuries to the knee and lower leg
S81841D,ICD10,1,Injuries to the knee and lower leg
S81852S,ICD10,1,Injuries to the knee and lower leg
S820,ICD10,1,Injuries to the knee and lower leg
S82001E,ICD10,1,Injuries to the knee and lower leg
S82001G,ICD10,1,Injuries to the knee and lower leg
S82002G,ICD10,1,Injuries to the knee and lower leg
S82012D,ICD10,1,Injuries to the knee and lower leg
S82012S,ICD10,1,Injuries to the knee and lower leg
S82021A,ICD10,1,Injuries to the knee and lower leg
S82022B,ICD10,1,Injuries to the knee and lower leg
S82022D,ICD10,1,Injuries to the knee and lower leg
S82024S,ICD10,1,Injuries to the knee and lower leg
S82032B,ICD10,1,Injuries to the knee and lower leg
S82032S,ICD10,1,Injuries to the knee and lower leg
S82033D,ICD10,1,Injuries to the knee and lower leg
S82034B,ICD10,1,Injuries to the knee and lower leg
S82035B,ICD10,1,Injuries to the knee and lower leg
S82035S,ICD10,1,Injuries to the knee and lower leg
S82041E,ICD10,1,Injuries to the knee and lower leg
S82041F,ICD10,1,Injuries to the knee and lower leg
S82041G,ICD10,1,Injuries to the knee and lower leg
S82042C,ICD10,1,Injuries to the knee and lower leg
S82042G,ICD10,1,Injuries to the knee and lower leg
S82044E,ICD10,1,Injuries to the knee and lower leg
S82044S,ICD10,1,Injuries to the knee and lower leg
S82091G,ICD10,1,Injuries to the knee and lower leg
S82092P,ICD10,1,Injuries to the knee and lower leg
S82092S,ICD10,1,Injuries to the knee and lower leg
S82101E,ICD10,1,Injuries to the knee and lower leg
S82101G,ICD10,1,Injuries to the knee and lower leg
S82101K,ICD10,1,Injuries to the knee and lower leg
S82101Q,ICD10,1,Injuries to the knee and lower leg
S82102B,ICD10,1,Injuries to the knee and lower leg
S82102C,ICD10,1,Injuries to the knee and lower leg
S82102E,ICD10,1,Injuries to the knee and lower leg
S82102P,ICD10,1,Injuries to the knee and lower leg
S82111G,ICD10,1,Injuries to the knee and lower leg
S82112J,ICD10,1,Injuries to the knee and lower leg
S82113A,ICD10,1,Injuries to the knee and lower leg
S82115G,ICD10,1,Injuries to the knee and lower leg
S82115K,ICD10,1,Injuries to the knee and lower leg
S82116D,ICD10,1,Injuries to the knee and lower leg
S82121S,ICD10,1,Injuries to the knee and lower leg
S82122B,ICD10,1,Injuries to the knee and lower leg
S82131K,ICD10,1,Injuries to the knee and lower leg
S82132P,ICD10,1,Injuries to the knee and lower leg
S82133A,ICD10,1,Injuries to the knee and lower leg
S82135D,ICD10,1,Injuries to the knee and lower leg
S82141E,ICD10,1,Injuries to the knee and lower leg
S82141P,ICD10,1,Injuries to the knee and lower leg
S82142C,ICD10,1,Injuries to the knee and lower leg
S82142F,ICD10,1,Injuries to the knee and lower leg
S82142M,ICD10,1,Injuries to the knee and lower leg
S82142N,ICD10,1,Injuries to the knee and lower leg
S82143G,ICD10,1,Injuries to the knee and lower leg
S82145P,ICD10,1,Injuries to the knee and lower leg
S82155A,ICD10,1,Injuries to the knee and lower leg
S82155D,ICD10,1,Injuries to the knee and lower leg
S82161D,ICD10,1,Injuries to the knee and lower leg
S82192B,ICD10,1,Injuries to the knee and lower leg
S82192C,ICD10,1,Injuries to the knee and lower leg
S82192G,ICD10,1,Injuries to the knee and lower leg
S82199D,ICD10,1,Injuries to the knee and lower leg
S82201F,ICD10,1,Injuries to the knee and lower leg
S82201J,ICD10,1,Injuries to the knee and lower leg
S82201K,ICD10,1,Injuries to the knee and lower leg
S82201Q,ICD10,1,Injuries to the knee and lower leg
S82202G,ICD10,1,Injuries to the knee and lower leg
S82202M,ICD10,1,Injuries to the knee and lower leg
S82202R,ICD10,1,Injuries to the knee and lower leg
S82221F,ICD10,1,Injuries to the knee and lower leg
S82221K,ICD10,1,Injuries to the knee and lower leg
S82221S,ICD10,1,Injuries to the knee and lower leg
S82225G,ICD10,1,Injuries to the knee and lower leg
S82231S,ICD10,1,Injuries to the knee and lower leg
S82232E,ICD10,1,Injuries to the knee and lower leg
S82234D,ICD10,1,Injuries to the knee and lower leg
S82242B,ICD10,1,Injuries to the knee and lower leg
S82242E,ICD10,1,Injuries to the knee and lower leg
S82245B,ICD10,1,Injuries to the knee and lower leg
S82245G,ICD10,1,Injuries to the knee and lower leg
S82246A,ICD10,1,Injuries to the knee and lower leg
S82251C,ICD10,1,Injuries to the knee and lower leg
S82251G,ICD10,1,Injuries to the knee and lower leg
S82251K,ICD10,1,Injuries to the knee and lower leg
S82252K,ICD10,1,Injuries to the knee and lower leg
S82252M,ICD10,1,Injuries to the knee and lower leg
S82253F,ICD10,1,Injuries to the knee and lower leg
S82255B,ICD10,1,Injuries to the knee and lower leg
S82255C,ICD10,1,Injuries to the knee and lower leg
S82255F,ICD10,1,Injuries to the knee and lower leg
S82256A,ICD10,1,Injuries to the knee and lower leg
S82256S,ICD10,1,Injuries to the knee and lower leg
S82261A,ICD10,1,Injuries to the knee and lower leg
S82261D,ICD10,1,Injuries to the knee and lower leg
S82261F,ICD10,1,Injuries to the knee and lower leg
S82261M,ICD10,1,Injuries to the knee and lower leg
S82261S,ICD10,1,Injuries to the knee and lower leg
S82262E,ICD10,1,Injuries to the knee and lower leg
S82262N,ICD10,1,Injuries to the knee and lower leg
S82264A,ICD10,1,Injuries to the knee and lower leg
S82264C,ICD10,1,Injuries to the knee and lower leg
S82264S,ICD10,1,Injuries to the knee and lower leg
S82301C,ICD10,1,Injuries to the knee and lower leg
S82302F,ICD10,1,Injuries to the knee and lower leg
S82302M,ICD10,1,Injuries to the knee and lower leg
S82309B,ICD10,1,Injuries to the knee and lower leg
S82309D,ICD10,1,Injuries to the knee and lower leg
S82309E,ICD10,1,Injuries to the knee and lower leg
S82311D,ICD10,1,Injuries to the knee and lower leg
S82311G,ICD10,1,Injuries to the knee and lower leg
S82312S,ICD10,1,Injuries to the knee and lower leg
S82319A,ICD10,1,Injuries to the knee and lower leg
S82391K,ICD10,1,Injuries to the knee and lower leg
S82391S,ICD10,1,Injuries to the knee and lower leg
S82392F,ICD10,1,Injuries to the knee and lower leg
S82392G,ICD10,1,Injuries to the knee and lower leg
S82392K,ICD10,1,Injuries to the knee and lower leg
S82392M,ICD10,1,Injuries to the knee and lower leg
S82392Q,ICD10,1,Injuries to the knee and lower leg
S82399A,ICD10,1,Injuries to the knee and lower leg
S82401F,ICD10,1,Injuries to the knee and lower leg
S82401J,ICD10,1,Injuries to the knee and lower leg
S82402G,ICD10,1,Injuries to the knee and lower leg
S82402N,ICD10,1,Injuries to the knee and lower leg
S82409G,ICD10,1,Injuries to the knee and lower leg
S82409S,ICD10,1,Injuries to the knee and lower leg
S82421E,ICD10,1,Injuries to the knee and lower leg
S82421J,ICD10,1,Injuries to the knee and lower leg
S82421S,ICD10,1,Injuries to the knee and lower leg
S82422B,ICD10,1,Injuries to the knee and lower leg
